seed,objective,index,eigenvalue,above_tolerance,tolerance,dimension
0,C1,17,0.00608584063523551,1,5.893527292769887e-11,128
0,C1,18,0.006007816509523121,1,5.893527292769887e-11,128
0,C1,19,0.005625657484129315,1,5.893527292769887e-11,128
0,C1,20,0.005316946824219798,1,5.893527292769887e-11,128
0,C1,21,0.004667567344158476,1,5.893527292769887e-11,128
0,C1,22,0.004318340535809213,1,5.893527292769887e-11,128
0,C1,23,0.0040047886174367706,1,5.893527292769887e-11,128
0,C1,24,0.003386274761329207,1,5.893527292769887e-11,128
0,C1,25,0.00309731606298345,1,5.893527292769887e-11,128
0,C1,26,0.002860517460980947,1,5.893527292769887e-11,128
0,C1,27,0.0026562149478873563,1,5.893527292769887e-11,128
